"","station_id","name","latitude","longitude","dockcount","landmark","installation_date","count_rentals","count_returns"
"1",39,"Powell Street BART",37.783871,-122.408433,19,"San Francisco","25-08-13",3005,3177
"2",41,"Clay at Battery",37.795001,-122.39997,15,"San Francisco","19-08-13",1139,1067
"3",42,"Davis at Jackson",37.79728,-122.398436,15,"San Francisco","19-08-13",1535,1467
"4",45,"Commercial at Montgomery",37.794231,-122.402923,15,"San Francisco","19-08-13",919,761
"5",46,"Washington at Kearney",37.795425,-122.404767,15,"San Francisco","19-08-13",1439,1450
"6",47,"Post at Kearney",37.788975,-122.403452,19,"San Francisco","19-08-13",1240,1162
"7",48,"Embarcadero at Vallejo",37.799953,-122.398525,15,"San Francisco","19-08-13",1906,2293
"8",49,"Spear at Folsom",37.790302,-122.390637,19,"San Francisco","20-08-13",1525,1302
"9",50,"Harry Bridges Plaza (Ferry Building)",37.795392,-122.394203,23,"San Francisco","20-08-13",6334,6507
"10",51,"Embarcadero at Folsom",37.791464,-122.391034,19,"San Francisco","20-08-13",1566,1384
"11",54,"Embarcadero at Bryant",37.787152,-122.388013,15,"San Francisco","20-08-13",3373,2845
"12",55,"Temporary Transbay Terminal (Howard at Beale)",37.789756,-122.394643,23,"San Francisco","20-08-13",1091,1008
"13",56,"Beale at Market",37.792251,-122.397086,19,"San Francisco","20-08-13",1309,1029
"14",57,"5th at Howard",37.781752,-122.405127,15,"San Francisco","21-08-13",1722,1785
"15",58,"San Francisco City Hall",37.77865,-122.418235,19,"San Francisco","21-08-13",909,762
"16",59,"Golden Gate at Polk",37.781332,-122.418603,23,"San Francisco","21-08-13",994,918
"17",60,"Embarcadero at Sansome",37.80477,-122.403234,15,"San Francisco","21-08-13",6614,7880
"18",61,"2nd at Townsend",37.780526,-122.390288,27,"San Francisco","22-08-13",3248,3351
"19",62,"2nd at Folsom",37.785299,-122.396236,19,"San Francisco","22-08-13",1250,864
"20",63,"Howard at 2nd",37.786978,-122.398108,19,"San Francisco","22-08-13",1114,1061
"21",64,"2nd at South Park",37.782259,-122.392738,15,"San Francisco","22-08-13",1479,1334
"22",65,"Townsend at 7th",37.771058,-122.402717,15,"San Francisco","22-08-13",2037,2124
"23",66,"South Van Ness at Market",37.774814,-122.418954,19,"San Francisco","23-08-13",1690,1820
"24",67,"Market at 10th",37.776619,-122.417385,27,"San Francisco","23-08-13",2361,2160
"25",68,"Yerba Buena Center of the Arts (3rd @ Howard)",37.784878,-122.401014,19,"San Francisco","23-08-13",1654,1707
"26",69,"San Francisco Caltrain 2 (330 Townsend)",37.7766,-122.39547,23,"San Francisco","23-08-13",2079,2200
"27",70,"San Francisco Caltrain (Townsend at 4th)",37.776617,-122.39526,19,"San Francisco","23-08-13",2836,3218
"28",71,"Powell at Post (Union Square)",37.788446,-122.408499,19,"San Francisco","23-08-13",2336,2091
"29",72,"Civic Center BART (7th at Market)",37.781039,-122.411748,23,"San Francisco","23-08-13",2017,1997
"30",73,"Grant Avenue at Columbus Avenue",37.7979,-122.405942,19,"San Francisco","19-05-16",2841,2482
"31",74,"Steuart at Market",37.794139,-122.394434,23,"San Francisco","25-08-13",2376,2713
"32",75,"Mechanics Plaza (Market at Battery)",37.7913,-122.399051,19,"San Francisco","25-08-13",1058,920
"33",76,"Market at 4th",37.786305,-122.404966,19,"San Francisco","25-08-13",3384,3680
"34",77,"Market at Sansome",37.789625,-122.400811,27,"San Francisco","25-08-13",2161,2111
"35",82,"Broadway St at Battery St",37.798541,-122.400862,15,"San Francisco","22-01-14",902,821
"36",90,"5th St at Folsom St",37.780148,-122.403158,31,"San Francisco","04-08-16",17,11
"37",91,"Cyril Magnin St at Ellis St",37.785908,-122.408891,35,"San Francisco","04-08-16",13,11
