"","station_id","X","name","latitude","longitude","dockcount","landmark","installation_date","freq_AS_start_station_all","freq_AS_end_station_all","freq_AS_start_station_weekday","freq_AS_end_station_weekday"
"1",39,1,"Powell Street BART",37.783871,-122.408433,19,"San Francisco","25-08-13",1743,NA,1510,NA
"2",41,2,"Clay at Battery",37.795001,-122.39997,15,"San Francisco","19-08-13",1144,NA,962,NA
"3",42,3,"Davis at Jackson",37.79728,-122.398436,15,"San Francisco","19-08-13",834,NA,693,NA
"4",45,4,"Commercial at Montgomery",37.794231,-122.402923,15,"San Francisco","19-08-13",1470,NA,1339,NA
"5",46,5,"Washington at Kearney",37.795425,-122.404767,15,"San Francisco","19-08-13",809,NA,646,NA
"6",47,6,"Post at Kearney",37.788975,-122.403452,19,"San Francisco","19-08-13",1157,NA,1046,NA
"7",48,7,"Embarcadero at Vallejo",37.799953,-122.398525,15,"San Francisco","19-08-13",658,NA,486,NA
"8",49,8,"Spear at Folsom",37.790302,-122.390637,19,"San Francisco","20-08-13",1550,NA,1339,NA
"9",50,9,"Harry Bridges Plaza (Ferry Building)",37.795392,-122.394203,23,"San Francisco","20-08-13",4145,NA,3680,NA
"10",51,10,"Embarcadero at Folsom",37.791464,-122.391034,19,"San Francisco","20-08-13",1026,NA,878,NA
"11",54,11,"Embarcadero at Bryant",37.787152,-122.388013,15,"San Francisco","20-08-13",861,NA,660,NA
"12",55,12,"Temporary Transbay Terminal (Howard at Beale)",37.789756,-122.394643,23,"San Francisco","20-08-13",5122,NA,4900,NA
"13",56,13,"Beale at Market",37.792251,-122.397086,19,"San Francisco","20-08-13",1217,NA,1051,NA
"14",57,14,"5th at Howard",37.781752,-122.405127,15,"San Francisco","21-08-13",2666,21162,2129,18757
"15",58,15,"San Francisco City Hall",37.77865,-122.418235,19,"San Francisco","21-08-13",748,NA,610,NA
"16",59,16,"Golden Gate at Polk",37.781332,-122.418603,23,"San Francisco","21-08-13",919,NA,743,NA
"17",60,17,"Embarcadero at Sansome",37.80477,-122.403234,15,"San Francisco","21-08-13",2220,NA,1521,NA
"18",61,18,"2nd at Townsend",37.780526,-122.390288,27,"San Francisco","22-08-13",3894,NA,3458,NA
"19",62,19,"2nd at Folsom",37.785299,-122.396236,19,"San Francisco","22-08-13",2173,13929,1868,12784
"20",63,20,"Howard at 2nd",37.786978,-122.398108,19,"San Francisco","22-08-13",2566,21615,2272,20195
"21",64,21,"2nd at South Park",37.782259,-122.392738,15,"San Francisco","22-08-13",3126,NA,2814,NA
"22",65,22,"Townsend at 7th",37.771058,-122.402717,15,"San Francisco","22-08-13",2925,NA,2626,NA
"23",66,23,"South Van Ness at Market",37.774814,-122.418954,19,"San Francisco","23-08-13",2003,NA,1649,NA
"24",67,24,"Market at 10th",37.776619,-122.417385,27,"San Francisco","23-08-13",5028,4288,4402,3776
"25",68,25,"Yerba Buena Center of the Arts (3rd @ Howard)",37.784878,-122.401014,19,"San Francisco","23-08-13",1143,NA,957,NA
"26",69,26,"San Francisco Caltrain 2 (330 Townsend)",37.7766,-122.39547,23,"San Francisco","23-08-13",9165,NA,8689,NA
"27",70,27,"San Francisco Caltrain (Townsend at 4th)",37.776617,-122.39526,19,"San Francisco","23-08-13",8562,NA,8149,NA
"28",71,28,"Powell at Post (Union Square)",37.788446,-122.408499,19,"San Francisco","23-08-13",2091,NA,1907,NA
"29",72,29,"Civic Center BART (7th at Market)",37.781039,-122.411748,23,"San Francisco","23-08-13",2070,NA,1698,NA
"30",73,30,"Grant Avenue at Columbus Avenue",37.7979,-122.405942,19,"San Francisco","19-05-16",1909,NA,1488,NA
"31",74,31,"Steuart at Market",37.794139,-122.394434,23,"San Francisco","25-08-13",2208,NA,1962,NA
"32",75,32,"Mechanics Plaza (Market at Battery)",37.7913,-122.399051,19,"San Francisco","25-08-13",1825,NA,1650,NA
"33",76,33,"Market at 4th",37.786305,-122.404966,19,"San Francisco","25-08-13",4975,26762,4061,21809
"34",77,34,"Market at Sansome",37.789625,-122.400811,27,"San Francisco","25-08-13",3073,NA,2840,NA
"35",82,35,"Broadway St at Battery St",37.798541,-122.400862,15,"San Francisco","22-01-14",691,NA,611,NA
"36",90,36,"5th St at Folsom St",37.780148,-122.403158,31,"San Francisco","04-08-16",32,NA,25,NA
"37",91,37,"Cyril Magnin St at Ellis St",37.785908,-122.408891,35,"San Francisco","04-08-16",2,NA,2,NA
